PeakID	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
7195	chr13	113607781	113607936	+	0	NA	Intergenic	Intergenic	15094	NR_034002	MCF2L-AS1	NR_034002			MCF2L-AS1			
3232	chr10	135278718	135278797	+	0	NA	exon (NR_002934, exon 7 of 10)	-exon (NR_002934, exon 7 of 10)	11325	NR_002934	LOC619207	NR_002934			LOC619207			
23703	chr5	132947659	132947714	+	0	NA	intron (NM_015082, intron 1 of 15)	-intron (NM_015082, intron 1 of 15)	537	NM_015082	FSTL4	NM_015082			FSTL4			
5210	chr11	66710983	66711077	+	0	NA	intron (NM_001040716, intron 3 of 22)	-intron (NM_000920, intron 2 of 21)	14817	NM_000920	PC	NM_000920			PC			
4740	chr11	3225768	3225895	+	0	NA	Intergenic	Intergenic	-13731	NR_027138	C11orf36	NR_027138			C11orf36			
14766	chr19	38345297	38345364	+	0	NA	intron (NR_040015, intron 1 of 5)	-intron (NR_040015, intron 1 of 5)	506	NR_040015	LOC100631378	NR_040015			LOC100631378			
5515	chr11	78791308	78791433	+	0	NA	intron (NM_001098816, intron 4 of 33)	-intron (NM_001098816, intron 4 of 33)	321783	NR_030598	MIR708	NR_030598			MIR708			
17770	chr2	7571527	7571575	+	0	NA	intron (NR_038432, intron 4 of 5)	-intron (NR_038432, intron 4 of 5)	10159	NR_038432	LOC100506274	NR_038432			LOC100506274			
2491	chr1	88042438	88042505	+	0	NA	Intergenic	Intergenic	-205133	NR_038324	LOC100505768	NR_038324			LOC100505768			
17441	chr2	33952476	33952586	+	0	NA	exon (NR_003143, exon 1 of 1)	-exon (NR_003143, exon 1 of 1)	753	NR_003143	MYADML	NR_003143			MYADML			
31093	chr9	35125606	35125672	+	0	NA	Intergenic	Intergenic	-9746	NM_025182	FAM214B	NM_025182			FAM214B			
1959	chr1	3643842	3643972	+	0	NA	intron (NM_005427, intron 7 of 13)	-intron (NM_001126240, intron 5 of 11)	19428	NR_033712	TP73-AS1	NR_033711			TP73-AS1			
18591	chr20	59828064	59828166	+	0	NA	intron (NM_001794, intron 1 of 15)	-intron (NM_001794, intron 1 of 15)	633	NM_001794	CDH4	NM_001252338			CDH4			
21928	chr3	84967983	84968037	+	0	NA	Intergenic	Intergenic	-40123	NM_001167675	CADM2	NM_001167674			CADM2			
21862	chr3	73159873	73159943	+	0	NA	Intergenic	Intergenic	49098	NM_018029	EBLN2	NM_018029			EBLN2			
24333	chr5	177843276	177843353	+	0	NA	intron (NM_173465, intron 2 of 28)	-intron (NM_173465, intron 2 of 28)	174242	NM_173465	COL23A1	NM_173465			COL23A1			
2597	chr10	102027784	102027917	+	0	NA	promoter-TSS (NM_018294)	-promoter-TSS (NM_018294)	-413	NM_018294	CWF19L1	NM_018294			CWF19L1			
27116	chr7	149524894	149524995	+	0	NA	exon (NM_198455, exon 105 of 110)	-exon (NM_198455, exon 105 of 110)	-10565	NM_001099220	ZNF862	NM_001099220			ZNF862			
24886	chr5	6474440	6474553	+	0	NA	intron (NM_001145161, intron 1 of 1)	-intron (NM_001145161, intron 1 of 1)	25760	NM_001145161	UBE2QL1	NM_001145161			UBE2QL1			
27531	chr7	19862500	19862633	+	0	NA	Intergenic	Intergenic	-50162	NM_152774	TMEM196	NM_152774			TMEM196			
27952	chr7	5206681	5206761	+	0	NA	Intergenic	Intergenic	-22544	NR_034163	ZNF890P	NR_034163			ZNF890P			
72	chr1	1086856	1086935	+	0	NA	Intergenic	Intergenic	14498	NR_038869	LOC254099	NR_038869			LOC254099			
16209	chr2	122568589	122568720	+	0	NA	Intergenic	Intergenic	55533	NM_004622	TSN	NM_004622			TSN			
14190	chr19	18663051	18663098	+	0	NA	Intergenic	Intergenic	-5498	NM_024069	KXD1	NM_024069			KXD1			
30977	chr9	140851571	140851699	+	0	NA	intron (NM_001243812, intron 9 of 45)	-intron (NM_000718, intron 9 of 45)	79394	NM_001243812	CACNA1B	NM_001243812			CACNA1B			
4864	chr11	45394158	45394247	+	0	NA	Intergenic	Intergenic	-86318	NM_001247987	SYT13	NM_020826			SYT13			
6055	chr12	130670704	130670771	+	0	NA	Intergenic	Intergenic	23733	NM_007197	FZD10	NM_007197			FZD10			
3037	chr10	134071617	134071748	+	0	NA	intron (NM_173575, intron 1 of 11)	-intron (NM_173575, intron 1 of 11)	49795	NM_173575	STK32C	NM_173575			STK32C			
19042	chr21	32177457	32177547	+	0	NA	Intergenic	Intergenic	8068	NM_175857	KRTAP8-1	NM_175857			KRTAP8-1			
15735	chr19	6668935	6669016	+	0	NA	intron (NM_172014, intron 2 of 4)	-intron (NM_003807, intron 2 of 4)	1624	NM_003807	TNFSF14	NM_172014			TNFSF14			
17860	chr2	89128427	89128577	+	0	NA	Intergenic	Intergenic	16618	NR_039635	MIR4436A	NR_039635			MIR4436A			
290	chr1	1297433	1297481	+	0	NA	Intergenic	Intergenic	-3542	NM_032348	MXRA8	NM_032348			MXRA8			
209	chr1	11708950	11709017	+	0	NA	intron (NM_012168, intron 5 of 5)	-intron (NM_012168, intron 5 of 5)	-5449	NM_183412	FBXO44	NM_183413			FBXO44			
23306	chr4	8229160	8229254	+	0	NA	exon (NM_018986, exon 12 of 18)	-exon (NM_018986, exon 12 of 18)	28147	NM_018986	SH3TC1	NM_018986			SH3TC1			
28438	chr8	1041223	1041294	+	0	NA	Intergenic	Intergenic	209569	NR_033895	LOC286083	NR_033895			LOC286083			
13788	chr19	10684792	10684855	+	0	NA	intron (NM_005498, intron 11 of 11)	-intron (NM_005498, intron 11 of 11)	-5168	NM_079421	CDKN2D	NM_079421			CDKN2D			
25382	chr6	137818108	137818194	+	0	NA	Intergenic	Intergenic	-2620	NM_175747	OLIG3	NM_175747			OLIG3			
4787	chr11	35677970	35678060	+	0	NA	Intergenic	Intergenic	-6338	NM_017583	TRIM44	NM_017583			TRIM44			
23904	chr5	145718032	145718097	+	0	NA	promoter-TSS (NM_002700)	-promoter-TSS (NM_002700)	-523	NM_002700	POU4F3	NM_002700			POU4F3			
13297	chr18	14382842	14382920	+	0	NA	Intergenic	Intergenic	45459	NR_026756	CYP4F35P	NR_026756			CYP4F35P			
18940	chr20	742232	742329	+	0	NA	intron (NM_033409, intron 4 of 4)	-intron (NM_033409, intron 4 of 4)	6948	NM_033409	C20orf54	NM_033409			C20orf54			
22406	chr4	162198454	162198493	+	0	NA	Intergenic	Intergenic	886713	NM_020116	FSTL5	NM_020116			FSTL5			
13133	chr17	81072175	81072253	+	0	NA	Intergenic	Intergenic	34647	NM_001004431	METRNL	NM_001004431			METRNL			
991	chr1	201499270	201499364	+	0	NA	Intergenic	Intergenic	10285	NR_026667	RPS10P7	NR_026667			RPS10P7			
31473	chr9	97880297	97880392	+	0	NA	intron (NM_001243744, intron 10 of 13)	-intron (NM_000136, intron 10 of 14)	-31968	NR_036109	MIR3074	NR_036109			MIR3074			
16037	chr2	108409535	108409601	+	0	NA	Intergenic	Intergenic	33015	NR_024439	LOC729121	NR_024439			LOC729121			
10242	chr16	4818096	4818161	+	0	NA	promoter-TSS (NM_021646)	-promoter-TSS (NM_021646)	-962	NM_021646	ZNF500	NM_021646			ZNF500			
29947	chr9	101583453	101583536	+	0	NA	intron (NM_024642, intron 1 of 9)	-intron (NM_024642, intron 1 of 9)	13513	NM_024642	GALNT12	NM_024642			GALNT12			
14914	chr19	411316	411356	+	0	NA	Intergenic	Intergenic	-2166	NM_001136263	C2CD4C	NM_001136263			C2CD4C			
3081	chr10	134440562	134440666	+	0	NA	intron (NM_005539, intron 2 of 15)	-intron (NM_005539, intron 2 of 15)	89261	NM_005539	INPP5A	NM_005539			INPP5A			
10243	chr16	48181952	48181990	+	0	NA	Intergenic	Intergenic	-1290	NM_033226	ABCC12	NM_033226			ABCC12			
17539	chr2	45163100	45163222	+	0	NA	Intergenic	Intergenic	-5876	NM_005413	SIX3	NM_005413			SIX3			
19118	chr21	39579003	39579047	+	0	NA	intron (NR_027695, intron 2 of 2)	-intron (NR_027695, intron 2 of 2)	775	NR_027695	DSCR10	NR_027695			DSCR10			
30458	chr9	136180040	136180153	+	0	NA	Intergenic	Intergenic	22951	NM_006753	SURF6	NM_006753			SURF6			
25510	chr6	156155968	156156034	+	0	NA	Intergenic	Intergenic	-378964	NM_015718	NOX3	NM_015718			NOX3			
20730	chr3	126972421	126972459	+	0	NA	Intergenic	Intergenic	265003	NM_032242	PLXNA1	NM_032242			PLXNA1			
28182	chr7	73717387	73717464	+	0	NA	intron (NM_032421, intron 1 of 15)	-intron (NM_003388, intron 1 of 16)	13620	NM_032421	CLIP2	NM_003388			CLIP2			
10220	chr16	4654374	4654412	+	0	NA	Intergenic	Intergenic	10534	NM_145253	FAM100A	NM_145253			FAM100A			
32166	chrX	62648365	62648453	+	0	NA	exon (NR_015353, exon 4 of 4)	-exon (NR_015353, exon 4 of 4)	-77191	NM_001012968	SPIN4	NM_001012968			SPIN4			
6418	chr12	34502585	34502652	+	0	NA	Intergenic	Intergenic	327402	NM_032834	ALG10	NM_032834			ALG10			
19258	chr21	45237201	45237245	+	0	NA	Intergenic	Intergenic	-4775	NR_026961	LOC284837	NR_026961			LOC284837			
96	chr1	1098539	1098594	+	0	NA	Intergenic	Intergenic	-3918	NR_029639	MIR200B	NR_029639			MIR200B			
2191	chr1	53393049	53393104	+	0	NA	exon (NM_001007098, exon 1 of 11)	-exon (NM_001007098, exon 1 of 11)	175	NM_001193600	SCP2	NM_001007100			SCP2			
4622	chr11	2288992	2289116	+	0	NA	TTS (NM_005170)	-TTS (NM_005170)	3128	NM_005170	ASCL2	NM_005170			ASCL2			
6518	chr12	4671574	4671654	+	0	NA	Intergenic	Intergenic	23664	NM_006479	RAD51AP1	NM_006479			RAD51AP1			
15319	chr19	50665846	50665945	+	0	NA	intron (NM_152358, intron 2 of 6)	-intron (NM_152358, intron 2 of 6)	643	NM_152358	IZUMO2	NM_152358			IZUMO2			
18913	chr20	62748312	62748378	+	0	NA	Intergenic	Intergenic	-10161	NM_005286	NPBWR2	NM_005286			NPBWR2			
7481	chr13	39262817	39262942	+	0	NA	exon (NM_207361, exon 1 of 24)	-exon (NM_207361, exon 1 of 24)	1706	NM_207361	FREM2	NM_207361			FREM2			
30069	chr9	122131321	122131430	+	0	NA	exon (NM_014618, exon 1 of 8)	-exon (NM_014618, exon 1 of 8)	364	NM_014618	DBC1	NM_014618			DBC1			
30662	chr9	138690086	138690215	+	0	NA	Intergenic	Intergenic	96119	NM_020822	KCNT1	NM_020822			KCNT1			
28862	chr8	143325404	143325470	+	0	NA	intron (NM_145003, intron 12 of 13)	-intron (NM_145003, intron 12 of 13)	45720	NR_024378	LINC00051	NR_024378			LINC00051			
9635	chr16	1252380	1252515	+	0	NA	exon (NM_001005407, exon 9 of 34)	-exon (NM_001005407, exon 9 of 34)	22807	NM_012467	TPSG1	NM_012467			TPSG1			
22583	chr4	18419915	18419997	+	0	NA	Intergenic	Intergenic	-396473	NM_153686	LCORL	NM_001166139			LCORL			
21024	chr3	152280846	152280927	+	0	NA	Intergenic	Intergenic	-222107	NM_001123228	TMEM14E	NM_001123228			TMEM14E			
23881	chr5	142558528	142558624	+	0	NA	intron (NM_015071, intron 20 of 22)	-intron (NM_001135608, intron 20 of 22)	224678	NM_001204261	NR3C1	NM_000176			NR3C1			
12999	chr17	79514872	79514977	+	0	NA	intron (NR_033338, intron 4 of 8)	-intron (NM_025161, intron 4 of 8)	4505	NM_025161	C17orf70	NM_025161			C17orf70			
5507	chr11	78349996	78350079	+	0	NA	Intergenic	Intergenic	-64128	NM_001243251	NARS2	NM_001243251			NARS2			
7210	chr13	113656365	113656423	+	0	NA	intron (NM_024979, intron 1 of 29)	-intron (NM_001112732, intron 1 of 29)	366	NM_024979	MCF2L	NM_001112732			MCF2L			
30941	chr9	140331256	140331382	+	0	NA	intron (NM_198585, intron 5 of 8)	-intron (NM_001033113, intron 5 of 9)	4582	NM_198585	ENTPD8	NM_198585			ENTPD8			
10566	chr16	71431238	71431388	+	0	NA	Intergenic	Intergenic	38697	NM_001740	CALB2	NM_001740			CALB2			
31172	chr9	6704534	6704573	+	0	NA	Intergenic	Intergenic	-16310	NM_001146696	KDM4C	NM_001146695			KDM4C			
27085	chr7	1486775	1486895	+	0	NA	intron (NM_182924, intron 4 of 16)	-intron (NM_182924, intron 4 of 16)	12274	NM_182924	MICALL2	NM_182924			MICALL2			
25743	chr6	168465667	168465771	+	0	NA	exon (NM_001122841, exon 5 of 11)	-exon (NM_001122841, exon 5 of 11)	10813	NM_001122841	FRMD1	NM_001122841			FRMD1			
24720	chr5	42719118	42719161	+	0	NA	exon (NM_000163, exon 10 of 10)	-exon (NM_000163, exon 10 of 10)	-37781	NM_001134848	CCDC152	NM_001134848			CCDC152			
17071	chr2	238512477	238512595	+	0	NA	Intergenic	Intergenic	-12767	NM_022449	RAB17	NR_033308			RAB17			
28777	chr8	142128177	142128273	+	0	NA	Intergenic	Intergenic	-10495	NM_014957	DENND3	NM_014957			DENND3			
22036	chr4	10763430	10763496	+	0	NA	Intergenic	Intergenic	-77077	NM_052964	CLNK	NM_052964			CLNK			
31984	chrX	3262828	3262875	+	0	NA	intron (NM_015419, intron 1 of 6)	-intron (NM_015419, intron 1 of 6)	1833	NM_015419	MXRA5	NM_015419			MXRA5			
30702	chr9	139092975	139093123	+	0	NA	intron (NM_178138, intron 1 of 5)	-intron (NM_014564, intron 1 of 5)	1955	NM_014564	LHX3	NM_178138			LHX3			
26039	chr6	28725251	28725317	+	0	NA	Intergenic	Intergenic	106170	NR_033379	LOC401242	NR_033379_6			LOC401242			
22785	chr4	30094351	30094440	+	0	NA	Intergenic	Intergenic	-627635	NM_032456	PCDH7	NM_032457			PCDH7			
19781	chr22	26957997	26958092	+	0	NA	intron (NM_003595, intron 1 of 6)	-intron (NM_001008566, intron 1 of 6)	3326	NM_001008566	TPST2	NM_001008566			TPST2			
20570	chr3	113160363	113160433	+	0	NA	promoter-TSS (NM_001164496)	-promoter-TSS (NM_001164496)	-37	NM_018338	WDR52	NM_001164496			WDR52			
6070	chr12	131311029	131311087	+	0	NA	intron (NM_194356, intron 2 of 10)	-intron (NM_001980, intron 2 of 9)	12761	NM_001980	STX2	NM_001980			STX2			
30033	chr9	116378406	116378541	+	0	NA	Intergenic	Intergenic	22273	NM_144489	RGS3	NM_130795			RGS3			
14361	chr19	23550805	23550858	+	0	NA	intron (NM_003430, intron 3 of 3)	-intron (NM_003430, intron 3 of 3)	27438	NM_003430	ZNF91	NM_003430			ZNF91			
723	chr1	177781961	177782056	+	0	NA	Intergenic	Intergenic	157042	NM_033127	SEC16B	NM_033127			SEC16B			
30006	chr9	113456523	113456589	+	0	NA	intron (NM_005592, intron 3 of 13)	-intron (NM_001166280, intron 3 of 12)	25505	NM_001166280	MUSK	NM_005592			MUSK			
14350	chr19	2302590	2302653	+	0	NA	intron (NM_001101391, intron 1 of 1)	-intron (NM_001101391, intron 1 of 1)	5535	NM_001101391	LINGO3	NM_001101391			LINGO3			
1853	chr1	3373795	3373893	+	0	NA	intron (NM_014448, intron 1 of 14)	-intron (NM_014448, intron 1 of 14)	2697	NM_014448	ARHGEF16	NM_014448			ARHGEF16			
31768	chrX	150767834	150767893	+	0	NA	intron (NM_173493, intron 1 of 15)	-intron (NM_173493, intron 1 of 15)	35856	NM_173493	PASD1	NM_173493			PASD1			
30976	chr9	140850209	140850298	+	0	NA	exon (NM_000718, exon 8 of 46)	-exon (NM_000718, exon 8 of 46)	78012	NM_001243812	CACNA1B	NM_001243812			CACNA1B			
1824	chr1	3322164	3322245	+	0	NA	exon (NM_022114, exon 8 of 17)	-exon (NM_022114, exon 8 of 17)	-48943	NM_014448	ARHGEF16	NM_014448			ARHGEF16			
26424	chr6	52116813	52116923	+	0	NA	Intergenic	Intergenic	-7570	NM_052872	IL17F	NM_052872			IL17F			
8422	chr14	76928861	76928908	+	0	NA	intron (NM_004452, intron 4 of 10)	-intron (NM_004452, intron 4 of 10)	91194	NM_004452	ESRRB	NM_004452			ESRRB			
28361	chr7	97899746	97899791	+	0	NA	Intergenic	Intergenic	-11211	NM_001159491	BRI3	NM_001159491			BRI3			
15128	chr19	46456356	46456420	+	0	NA	intron (NM_002516, intron 3 of 3)	-intron (NM_002516, intron 3 of 3)	20269	NM_002516	NOVA2	NM_002516			NOVA2			
4048	chr11	1107957	1107995	+	0	NA	Intergenic	Intergenic	33101	NM_002457	MUC2	NM_002457			MUC2			
24930	chr5	6901058	6901145	+	0	NA	Intergenic	Intergenic	-73067	NR_036242	MIR4278	NR_036242			MIR4278			
4620	chr11	22795633	22795699	+	0	NA	intron (NM_177553, intron 7 of 7)	-intron (NM_001143830, intron 7 of 7)	55716	NM_148893	SVIP	NM_148893			SVIP			
2636	chr10	102906568	102906649	+	0	NA	Intergenic	Intergenic	15547	NM_001195517	TLX1	NM_005521			TLX1			
29511	chr8	49468750	49468827	+	0	NA	Intergenic	Intergenic	179082	NM_024593	EFCAB1	NM_024593			EFCAB1			
4167	chr11	119216459	119216587	+	0	NA	exon (NM_015645, exon 4 of 15)	-exon (NM_015645, exon 4 of 15)	860	NM_031433	MFRP	NM_031433			MFRP			
27363	chr7	157396680	157396754	+	0	NA	exon (NM_002847, exon 16 of 23)	-exon (NM_002847, exon 16 of 23)	-29603	NR_029689	MIR153-2	NR_029689			MIR153-2			
4534	chr11	1956605	1956766	+	0	NA	intron (NM_006757, intron 14 of 15)	-intron (NM_001042780, intron 13 of 14)	-11817	NM_021134	MRPL23	NM_021134			MRPL23			
215	chr1	117257530	117257645	+	0	NA	Intergenic	Intergenic	-39499	NM_001767	CD2	NM_001767			CD2			
31996	chrX	34961454	34961531	+	0	NA	exon (NM_152631, exon 1 of 1)	-exon (NM_152631, exon 1 of 1)	579	NM_152631	FAM47B	NM_152631			FAM47B			
5784	chr12	114843171	114843285	+	0	NA	intron (NM_000192, intron 1 of 8)	-intron (NM_000192, intron 1 of 8)	661	NM_181486	TBX5	NM_181486			TBX5			
9554	chr16	1105866	1105965	+	0	NA	Intergenic	Intergenic	-16841	NM_001172560	SSTR5	NM_001053			SSTR5			
14947	chr19	4234741	4234818	+	0	NA	exon (NM_005755, exon 4 of 5)	-exon (NM_005755, exon 4 of 5)	5239	NM_005755	EBI3	NM_005755			EBI3			
26259	chr6	38118926	38119018	+	0	NA	intron (NM_021943, intron 5 of 5)	-intron (NM_021943, intron 5 of 5)	331665	NM_021943	ZFAND3	NM_021943			ZFAND3			
29896	chr8	97819623	97819755	+	0	NA	intron (NM_016134, intron 2 of 7)	-intron (NM_016134, intron 2 of 7)	162190	NM_016134	CPQ	NM_016134			CPQ			
2852	chr10	125853677	125853787	+	0	NA	Intergenic	Intergenic	-1802	NM_015892	CHST15	NM_014863			CHST15			
1604	chr1	2537002	2537099	+	0	NA	exon (NM_033467, exon 9 of 24)	-exon (NM_033467, exon 9 of 24)	18861	NM_001195738	FAM213B	NR_036637			FAM213B			
15355	chr19	51004469	51004529	+	0	NA	Intergenic	Intergenic	9846	NM_138334	JOSD2	NM_138334			JOSD2			
6393	chr12	32676837	32676937	+	0	NA	intron (NM_139241, intron 1 of 16)	-intron (NM_139241, intron 1 of 16)	21846	NM_139241	FGD4	NM_139241			FGD4			
2408	chr1	7563920	7564088	+	0	NA	intron (NM_015215, intron 6 of 22)	-intron (NM_015215, intron 6 of 22)	-267325	NM_004781	VAMP3	NM_004781			VAMP3			
27916	chr7	49814964	49815015	+	0	NA	exon (NM_198570, exon 2 of 4)	-exon (NM_198570, exon 2 of 4)	1732	NM_198570	VWC2	NM_198570			VWC2			
8329	chr14	69281276	69281396	+	0	NA	Intergenic	Intergenic	-18376	NM_001244701	ZFP36L1	NM_001244701			ZFP36L1			
14182	chr19	18534691	18534760	+	0	NA	intron (NM_032627, intron 1 of 17)	-intron (NM_001009998, intron 1 of 16)	4579	NM_001009998	SSBP4	NM_001009998			SSBP4			
14709	chr19	37463437	37463522	+	0	NA	intron (NM_001204839, intron 5 of 8)	-intron (NM_001204838, intron 6 of 9)	56248	NM_001204837	ZNF568	NM_001204838			ZNF568			
21754	chr3	53769523	53769671	+	0	NA	intron (NM_001128840, intron 20 of 47)	-intron (NM_000720, intron 21 of 48)	110823	NM_018397	CHDH	NM_018397			CHDH			
14755	chr19	3819014	3819075	+	0	NA	exon (NM_015174, exon 12 of 19)	-exon (NM_015174, exon 12 of 19)	-17234	NM_002378	MATK	NM_002378			MATK			
31818	chrX	152818104	152818183	+	0	NA	intron (NM_021949, intron 10 of 20)	-intron (NM_001001344, intron 10 of 19)	16563	NM_021949	ATP2B3	NM_001001344			ATP2B3			
21398	chr3	196750065	196750157	+	0	NA	intron (NM_033316, intron 4 of 6)	-intron (NM_005929, intron 4 of 15)	6575	NM_033316	MFI2	NM_033316			MFI2			
23254	chr4	7973702	7973763	+	0	NA	intron (NM_032432, intron 15 of 15)	-intron (NM_001130083, intron 20 of 20)	-32079	NM_001134647	AFAP1	NM_198595			AFAP1			
9536	chr16	1075138	1075257	+	0	NA	Intergenic	Intergenic	43389	NM_014587	SOX8	NM_014587			SOX8			
13317	chr18	18822706	18822753	+	0	NA	intron (NM_001142966, intron 1 of 32)	-intron (NM_001142966, intron 1 of 32)	526	NM_001142966	GREB1L	NM_001142966			GREB1L			
6779	chr12	6556596	6556749	+	0	NA	intron (NR_015382, intron 3 of 5)	-intron (NM_001242, intron 2 of 5)	2621	NM_001242	CD27	NM_001242			CD27			
29739	chr8	74165099	74165233	+	0	NA	intron (NM_001243237, intron 2 of 3)	-intron (NM_001243237, intron 2 of 3)	6571	NM_001243237	LOC100130301	NM_001243237			LOC100130301			
9472	chr15	98814112	98814192	+	0	NA	Intergenic	Intergenic	243459	NM_182562	FAM169B	NM_182562			FAM169B			
30797	chr9	139672073	139672127	+	0	NA	Intergenic	Intergenic	-13135	NM_203347	LCN15	NM_203347			LCN15			
31190	chr9	7148095	7148161	+	0	NA	intron (NM_015061, intron 19 of 21)	-intron (NM_001146694, intron 19 of 20)	390487	NM_001146694	KDM4C	NM_001146695			KDM4C			
28875	chr8	143382203	143382285	+	0	NA	intron (NM_145003, intron 9 of 13)	-intron (NM_145003, intron 9 of 13)	102299	NM_145003	TSNARE1	NM_145003			TSNARE1			
15021	chr19	44064405	44064471	+	0	NA	intron (NM_006297, intron 3 of 16)	-intron (NM_006297, intron 3 of 16)	15292	NM_006297	XRCC1	NM_006297			XRCC1			
26317	chr6	41724159	41724296	+	0	NA	Intergenic	Intergenic	-9088	NM_001166424	PGC	NM_001166424			PGC			
26117	chr6	31926206	31926278	+	0	NA	promoter-TSS (NM_006929_2)	-promoter-TSS (NM_006929_2)	-339	NM_006929_2	SKIV2L	NM_006929_2			SKIV2L			
30087	chr9	124340936	124340990	+	0	NA	intron (NM_032552, intron 1 of 16)	-intron (NM_032552, intron 1 of 16)	11564	NM_032552	DAB2IP	NM_032552			DAB2IP			
23535	chr5	115297530	115297607	+	0	NA	promoter-TSS (NM_173800)	-promoter-TSS (NM_173800)	-583	NM_173800	AQPEP	NM_173800			AQPEP			
20268	chr22	46423702	46423849	+	0	NA	Intergenic	Intergenic	16973	NR_027036	LOC100271722	NR_027036			LOC100271722			
10417	chr16	58082906	58083013	+	0	NA	Intergenic	Intergenic	23677	NM_002428	MMP15	NM_002428			MMP15			
29756	chr8	77594178	77594280	+	0	NA	intron (NM_024721, intron 1 of 10)	-intron (NM_024721, intron 1 of 10)	714	NM_024721	ZFHX4	NM_024721			ZFHX4			
29591	chr8	56971073	56971204	+	0	NA	Intergenic	Intergenic	15322	NR_002437	SNORD54	NR_002437			SNORD54			
17484	chr2	38581057	38581190	+	0	NA	intron (NM_022374, intron 1 of 12)	-intron (NM_001135673, intron 1 of 12)	23309	NM_001135673	ATL2	NM_001135673			ATL2			
17098	chr2	239476285	239476380	+	0	NA	Intergenic	Intergenic	-12192	NR_037809	LOC151171	NR_037809			LOC151171			
5469	chr11	75890368	75890472	+	0	NA	Intergenic	Intergenic	27154	NM_004626	WNT11	NM_004626			WNT11			
