,PeakID,Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
43,25813,chr8,145761577,145761676,+,0,,"intron (NM_025251, intron 8 of 12)","-intron (NM_025251, intron 8 of 12)",-7168,NM_001001795,C8orf82,NM_001001795,,,C8orf82,,,
44,5620,chr12,132885240,132885397,+,0,,"intron (NM_001122636, intron 1 of 10)","-intron (NM_001122636, intron 1 of 10)",20587,NM_001122636,GALNT9,NM_021808,,,GALNT9,,,
45,4289,chr11,441784,441852,+,0,,"intron (NM_001012302, intron 1 of 22)","-intron (NM_001012302, intron 1 of 22)",193,NM_001012302,ANO9,NM_001012302,,,ANO9,,,
46,1767,chr1,49144126,49144193,+,0,,"intron (NM_032785, intron 6 of 13)","-intron (NM_032785, intron 6 of 13)",98388,NM_024603,BEND5,NM_024603,,,BEND5,,,
47,2570,chr10,133979132,133979177,+,0,,"intron (NM_001105521, intron 20 of 23)","-intron (NM_001105521, intron 20 of 23)",-21260,NM_006426,DPYSL4,NM_006426,,,DPYSL4,,,
48,2805,chr10,20104812,20104853,+,0,,promoter-TSS (NM_032812),-promoter-TSS (NM_032812),-540,NM_032812,PLXDC2,NM_032812,,,PLXDC2,,,
49,14822,chr2,209010060,209010133,+,0,,"intron (NM_005210, intron 2 of 2)","-intron (NM_005210, intron 2 of 2)",781,NM_005210,CRYGB,NM_005210,,,CRYGB,,,
50,10807,chr17,45950100,45950201,+,0,,Intergenic,Intergenic,-16910,NM_199262,SP6,NM_199262,,,SP6,,,
51,8820,chr16,1132114,1132172,+,0,,TTS (NM_001053),-TTS (NM_001053),3362,NM_001053,SSTR5,NM_001053,,,SSTR5,,,
52,26668,chr9,117132847,117132894,+,0,,"intron (NM_030767, intron 4 of 21)","-intron (NM_030767, intron 4 of 21)",23815,NM_030767,AKNA,NM_030767,,,AKNA,,,
53,21358,chr5,171129573,171129659,+,0,,Intergenic,Intergenic,282949,NM_003862,FGF18,NM_003862,,,FGF18,,,
54,11930,chr18,74088169,74088253,+,0,,"intron (NM_014643, intron 5 of 7)","-intron (NM_014643, intron 5 of 7)",118935,NM_014643,ZNF516,NM_014643,,,ZNF516,,,
55,19610,chr4,15958148,15958196,+,0,,Intergenic,Intergenic,6687,NM_031950,FGFBP2,NM_031950,,,FGFBP2,,,
56,15430,chr2,495913,495972,+,0,,Intergenic,Intergenic,181497,NM_152834,TMEM18,NM_152834,,,TMEM18,,,
57,27020,chr9,137335149,137335311,+,0,,Intergenic,Intergenic,63973,NR_039816,MIR4669,NR_039816,,,MIR4669,,,
58,3636,chr11,119243965,119244031,+,0,,"exon (NM_004205, exon 2 of 13)","-exon (NM_004205, exon 2 of 13)",8438,NM_001243759,USP2,NM_001243759,,,USP2,,,
59,20062,chr4,3592019,3592070,+,0,,"exon (NR_040045, exon 3 of 3)","-exon (NR_040045, exon 3 of 3)",13448,NR_040045,FLJ35424,NR_040045,,,FLJ35424,,,
60,2205,chr10,11429234,11429306,+,0,,Intergenic,Intergenic,145004,NM_001080491,USP6NL,NM_014688,,,USP6NL,,,
61,20845,chr5,1201175,1201314,+,0,,promoter-TSS (NM_001003841),-promoter-TSS (NM_001003841),-466,NM_001003841,SLC6A19,NM_001003841,,,SLC6A19,,,
62,13975,chr19,7733884,7733977,+,0,,promoter-TSS (NM_001193374),-promoter-TSS (NM_001193374),-42,NM_020415,RETN,NM_020415,,,RETN,,,
63,11084,chr17,71381038,71381094,+,0,,"intron (NM_001144952, intron 32 of 44)","-intron (NM_001144952, intron 32 of 44)",-72923,NM_012121,CDC42EP4,NM_012121,,,CDC42EP4,,,
64,8707,chr15,98621669,98621735,+,0,,Intergenic,Intergenic,117769,NM_183376,ARRDC4,NM_183376,,,ARRDC4,,,
65,1678,chr1,42877439,42877550,+,0,,"intron (NM_173642, intron 4 of 4)","-intron (NM_173642, intron 4 of 4)",31026,NM_173642,RIMKLA,NM_173642,,,RIMKLA,,,
66,11613,chr17,8313252,8313300,+,0,,Intergenic,Intergenic,-12132,NM_001146684,RNF222,NM_001146684,,,RNF222,,,
67,20706,chr5,101373975,101374038,+,0,,Intergenic,Intergenic,258247,NM_180991,SLCO4C1,NM_180991,,,SLCO4C1,,,
68,3523,chr11,1083683,1083834,+,0,,"exon (NM_002457, exon 18 of 50)","-exon (NM_002457, exon 18 of 50)",8883,NM_002457,MUC2,NM_002457,,,MUC2,,,
69,12843,chr19,33947936,33948058,+,0,,"intron (NM_001166056, intron 7 of 12)","-intron (NM_000285, intron 9 of 14)",64802,NM_000285,PEPD,NM_001166056,,,PEPD,,,
70,44,chr1,107460337,107460403,+,0,,Intergenic,Intergenic,-138897,NM_018137,PRMT6,NM_018137,,,PRMT6,,,
71,15244,chr2,2584392,2584468,+,0,,Intergenic,Intergenic,-249385,NM_015025,MYT1L,NM_015025,,,MYT1L,,,
72,26032,chr8,35456383,35456516,+,0,,"intron (NM_080872, intron 4 of 16)","-intron (NM_080872, intron 4 of 16)",363474,NM_080872,UNC5D,NM_080872,,,UNC5D,,,
73,10989,chr17,6338338,6338475,+,0,,"exon (NM_001033054, exon 1 of 5)","-exon (NM_001033054, exon 1 of 5)",113,NM_001033054,AIPL1,NM_014336,,,AIPL1,,,
74,10093,chr16,89047954,89048003,+,0,,Intergenic,Intergenic,-4474,NM_005187,CBFA2T3,NM_175931,,,CBFA2T3,,,
75,1101,chr1,2360388,2360451,+,0,,Intergenic,Intergenic,-16409,NM_153818,PEX10,NM_153818,,,PEX10,,,
76,28750,chrY,13472321,13472440,+,0,,Intergenic,Intergenic,1061009,NR_033667,GYG2P1,NR_033667,,,GYG2P1,,,
77,7365,chr14,106007852,106007897,+,0,,Intergenic,Intergenic,14921,NM_025268,TMEM121,NM_025268,,,TMEM121,,,
78,458,chr1,160957955,160958090,+,0,,Intergenic,Intergenic,33111,NM_016946,F11R,NM_016946,,,F11R,,,
79,2978,chr10,43249833,43249923,+,0,,Intergenic,Intergenic,-28076,NM_014753,BMS1,NM_014753,,,BMS1,,,
80,15538,chr2,66653545,66653616,+,0,,Intergenic,Intergenic,-8952,NM_002398,MEIS1,NM_002398,,,MEIS1,,,
81,28290,chrX,197969,198013,+,0,,promoter-TSS (NM_018390),-promoter-TSS (NM_018390),-70,NM_018390,PLCXD1,NM_018390_1,,,PLCXD1,,,
82,21818,chr5,21584760,21584808,+,0,,"intron (NR_027026, intron 4 of 4)","-intron (NR_027026, intron 4 of 4)",125195,NR_027027,GUSBP1,NR_027028,,,GUSBP1,,,
83,21996,chr5,3656987,3657042,+,0,,Intergenic,Intergenic,60846,NM_024337,IRX1,NM_024337,,,IRX1,,,
84,2921,chr10,33922017,33922083,+,0,,Intergenic,Intergenic,139558,NR_038932,LOC100505583,NR_038932,,,LOC100505583,,,
85,16154,chr20,4804548,4804684,+,0,,promoter-TSS (NM_014737),-promoter-TSS (NM_014737),-325,NM_014737,RASSF2,NM_170774,,,RASSF2,,,
86,12873,chr19,34317390,34317469,+,0,,Intergenic,Intergenic,29678,NM_024076,KCTD15,NM_001129995,,,KCTD15,,,
87,2981,chr10,43395870,43395985,+,0,,Intergenic,Intergenic,117973,NM_014753,BMS1,NM_014753,,,BMS1,,,
88,13186,chr19,42430800,42430858,+,0,,Intergenic,Intergenic,32699,NM_006423,RABAC1,NM_006423,,,RABAC1,,,
89,12418,chr19,17945439,17945494,+,0,,"exon (NM_000215, exon 17 of 24)","-exon (NM_000215, exon 17 of 24)",-13146,NM_005543,INSL3,NM_005543,,,INSL3,,,
90,23829,chr7,132165301,132165396,+,0,,"intron (NM_001105543, intron 3 of 3)","-intron (NM_001105543, intron 3 of 3)",95975,NM_001105543,PLXNA4,NM_020911,,,PLXNA4,,,
91,17129,chr22,18521814,18521946,+,0,,Intergenic,Intergenic,9729,NR_024417,FLJ41941,NR_024417,,,FLJ41941,,,
92,19725,chr4,173718557,173718690,+,0,,"intron (NM_001034845, intron 5 of 12)","-intron (NM_001034845, intron 5 of 12)",-371281,NM_017423,GALNT7,NM_017423,,,GALNT7,,,
93,23901,chr7,139930645,139930694,+,0,,Intergenic,Intergenic,53608,NR_024451,LOC100134229,NR_024451,,,LOC100134229,,,
94,19098,chr3,69591493,69591572,+,0,,Intergenic,Intergenic,-156102,NM_015123,FRMD4B,NM_015123,,,FRMD4B,,,
95,3232,chr10,72678753,72678908,+,0,,Intergenic,Intergenic,-30289,NM_000281,PCBD1,NM_000281,,,PCBD1,,,
96,23741,chr7,12682885,12682981,+,0,,"intron (NM_033128, intron 9 of 13)","-intron (NM_001112706, intron 11 of 15)",-43519,NM_001037164,ARL4A,NM_212460,,,ARL4A,,,
97,26243,chr8,584651,584705,+,0,,Intergenic,Intergenic,-88897,NM_175075,C8orf42,NM_175075,,,C8orf42,,,
98,23012,chr6,27596894,27597024,+,0,,Intergenic,Intergenic,-64855,NR_038294,LOC100507173,NR_038292,,,LOC100507173,,,
99,6034,chr12,49453323,49453377,+,0,,Intergenic,Intergenic,-4243,NM_003482,MLL2,NM_003482,,,MLL2,,,
100,9696,chr16,71623155,71623309,+,0,,Intergenic,Intergenic,-12234,NM_000353,TAT,NM_000353,,,TAT,,,
101,3913,chr11,16838556,16838614,+,0,,"exon (NM_175058, exon 11 of 23)","-exon (NM_175058, exon 11 of 23)",78437,NM_014267,C11orf58,NM_014267,,,C11orf58,,,
102,9548,chr16,59106928,59107025,+,0,,Intergenic,Intergenic,-338730,NM_002080,GOT2,NM_002080,,,GOT2,,,
103,9697,chr16,71645510,71645557,+,0,,Intergenic,Intergenic,-14537,NM_052858,MARVELD3,NM_052858,,,MARVELD3,,,
104,11587,chr17,8060944,8060998,+,0,,Intergenic,Intergenic,-5218,NM_002616,PER1,NM_002616,,,PER1,,,
105,28249,chrX,1584198,1584247,+,0,,"exon (NM_178129, exon 2 of 2)","-exon (NM_178129, exon 2 of 2)",-11567,NM_001173473_1,ASMTL,NM_001173474,,,ASMTL,,,
106,16177,chr20,49482255,49482314,+,0,,"intron (NM_198799, intron 4 of 4)","-intron (NM_001010974, intron 3 of 3)",65243,NM_015339,ADNP,NM_015339,,,ADNP,,,
107,3139,chr10,57914942,57914981,+,0,,Intergenic,Intergenic,206073,NM_007057,ZWINT,NM_032997,,,ZWINT,,,
108,11844,chr18,59001050,59001108,+,0,,Intergenic,Intergenic,-156696,NM_031891,CDH20,NM_031891,,,CDH20,,,
109,19561,chr4,154605437,154605597,+,0,,promoter-TSS (NM_003264),-promoter-TSS (NM_003264),76,NM_003264,TLR2,NM_003264,,,TLR2,,,
110,6969,chr13,82738293,82738365,+,0,,Intergenic,Intergenic,1718199,NM_052910,SLITRK1,NM_052910,,,SLITRK1,,,
111,28712,chrX,98333471,98333518,+,0,,Intergenic,Intergenic,861347,NR_024608,LOC442459,NR_024608,,,LOC442459,,,
112,26486,chr8,91109577,91109647,+,0,,Intergenic,Intergenic,-14505,NM_004929,CALB1,NM_004929,,,CALB1,,,
113,283,chr1,148928671,148928810,+,0,,"intron (NR_027356, intron 1 of 2)","-intron (NR_027355, intron 1 of 3)",454,NR_027356,LOC645166,NR_027354,,,LOC645166,,,
114,18071,chr3,116110517,116110588,+,0,,"intron (NM_002338, intron 1 of 6)","-intron (NM_002338, intron 1 of 6)",53833,NM_002338,LSAMP,NM_002338,,,LSAMP,,,
115,1898,chr1,66258132,66258239,+,0,,promoter-TSS (NM_001037341),-promoter-TSS (NM_001037341),-8,NM_001037341,PDE4B,NM_001037339,,,PDE4B,,,
116,705,chr1,1898608,1898733,+,0,,"intron (NM_001080484, intron 11 of 17)","-intron (NM_001080484, intron 11 of 17)",36606,NM_001080484,KIAA1751,NM_001080484,,,KIAA1751,,,
117,18882,chr3,41181953,41182000,+,0,,Intergenic,Intergenic,-58966,NM_001098210,CTNNB1,NM_001098209,,,CTNNB1,,,
118,24039,chr7,149916557,149916640,+,0,,Intergenic,Intergenic,83471,NM_001164459,ACTR3C,NM_001164458,,,ACTR3C,,,
119,14976,chr2,231902847,231902897,+,0,,"exon (NM_001144994, exon 1 of 3)","-exon (NM_001144994, exon 1 of 3)",591,NM_001144994,C2orf72,NM_001144994,,,C2orf72,,,
120,9091,chr16,23313554,23313643,+,0,,promoter-TSS (NM_000336),-promoter-TSS (NM_000336),7,NM_000336,SCNN1B,NM_000336,,,SCNN1B,,,
121,8067,chr15,25490191,25490295,+,0,,promoter-TSS (NR_003356),-promoter-TSS (NR_003356),-382,NR_003356,SNORD115-41,NR_003356,,,SNORD115-41,,,
122,20869,chr5,1223193,1223239,+,0,,"exon (NM_001003841, exon 12 of 12)","-exon (NM_001003841, exon 12 of 12)",-2254,NM_182632,SLC6A18,NM_182632,,,SLC6A18,,,
123,15596,chr2,74649644,74649775,+,0,,"intron (NM_032118, intron 2 of 9)","-intron (NM_032118, intron 2 of 9)",824,NM_032118,WDR54,NM_032118,,,WDR54,,,
124,14714,chr2,181103601,181103695,+,0,,Intergenic,Intergenic,-231868,NM_020943,CWC22,NM_020943,,,CWC22,,,
125,6972,chr13,83004785,83004851,+,0,,Intergenic,Intergenic,1451710,NM_052910,SLITRK1,NM_052910,,,SLITRK1,,,
126,16984,chr21,45941160,45941327,+,0,,"intron (NM_144991, intron 9 of 11)","-intron (NM_144991, intron 9 of 11)",4145,NR_026547,C21orf90,NR_026548,,,C21orf90,,,
127,3300,chr10,79749320,79749398,+,0,,"intron (NM_007055, intron 21 of 30)","-intron (NM_007055, intron 21 of 30)",39939,NM_007055,POLR3A,NM_007055,,,POLR3A,,,
128,14689,chr2,175547472,175547514,+,0,,"intron (NM_001077269, intron 1 of 7)","-intron (NM_001077269, intron 1 of 7)",134,NM_001077269,WIPF1,NM_001077269,,,WIPF1,,,
129,28472,chrX,48712798,48712913,+,0,,Intergenic,Intergenic,-18895,NM_013271,PCSK1N,NM_013271,,,PCSK1N,,,
130,11834,chr18,56719187,56719241,+,0,,"intron (NR_024021, intron 4 of 4)","-intron (NR_024021, intron 4 of 4)",16243,NR_024021,LOC390858,NR_024021,,,LOC390858,,,
131,28379,chrX,34149434,34149547,+,0,,"exon (NM_203408, exon 1 of 1)","-exon (NM_203408, exon 1 of 1)",957,NM_203408,FAM47A,NM_203408,,,FAM47A,,,
132,18951,chr3,49210264,49210322,+,0,,"exon (NM_173546, exon 2 of 6)","-exon (NM_173546, exon 2 of 6)",1275,NM_173546,KLHDC8B,NM_173546,,,KLHDC8B,,,
133,3291,chr10,7781871,7782004,+,0,,"intron (NM_002216, intron 16 of 20)","-intron (NM_002216, intron 16 of 20)",36701,NM_002216,ITIH2,NM_002216,,,ITIH2,,,
134,3114,chr10,52499846,52499899,+,0,,"intron (NM_001079516, intron 1 of 5)","-intron (NM_001079516, intron 1 of 5)",164,NM_001079516,ASAH2B,NM_001079516,,,ASAH2B,,,
135,2688,chr10,134931003,134931050,+,0,,"intron (NM_001083909, intron 5 of 6)","-intron (NM_001083909, intron 5 of 6)",29617,NM_001083909,GPR123,NM_001083909,,,GPR123,,,
136,8423,chr15,73435718,73435804,+,0,,"intron (NM_002499, intron 5 of 28)","-intron (NM_001172623, intron 5 of 27)",90936,NM_002499,NEO1,NM_002499,,,NEO1,,,
137,23750,chr7,1274664,1274739,+,0,,"intron (NM_001080461, intron 2 of 2)","-intron (NM_001080461, intron 2 of 2)",2047,NM_001080461,UNCX,NM_001080461,,,UNCX,,,
138,11663,chr18,11982123,11982282,+,0,,"intron (NM_014214, intron 1 of 7)","-intron (NM_014214, intron 1 of 7)",775,NM_014214,IMPA2,NM_014214,,,IMPA2,,,
139,7811,chr14,85970184,85970299,+,0,,Intergenic,Intergenic,-26247,NM_013231,FLRT2,NM_013231,,,FLRT2,,,
140,3903,chr11,15917671,15917813,+,0,,Intergenic,Intergenic,506671,NM_001145819,SOX6,NM_001145819,,,SOX6,,,
141,1261,chr1,26249306,26249415,+,0,,Intergenic,Intergenic,-15992,NM_203399,STMN1,NM_001145454,,,STMN1,,,
142,15897,chr20,2730544,2730599,+,0,,"exon (NM_001110514, exon 11 of 18)","-exon (NM_001110514, exon 11 of 18)",50721,NM_001184699,CPXM1,NM_001184699,,,CPXM1,,,
143,19448,chr4,138827266,138827307,+,0,,Intergenic,Intergenic,-182882,NR_038380,LOC641364,NR_038380,,,LOC641364,,,
144,13948,chr19,737717,737865,+,0,,"intron (NM_001040134, intron 7 of 7)","-intron (NM_001040134, intron 7 of 7)",-13355,NM_173481,C19orf21,NM_173481,,,C19orf21,,,
145,22419,chr6,109705316,109705382,+,0,,Intergenic,Intergenic,-1587,NM_001142404,CD164,NM_001142404,,,CD164,,,
146,12330,chr19,16860942,16861002,+,0,,"exon (NM_001007525, exon 6 of 19)","-exon (NM_001007525, exon 6 of 19)",30185,NM_001007525,NWD1,NM_001007525,,,NWD1,,,
147,27968,chrX,112101303,112101369,+,0,,Intergenic,Intergenic,-17293,NM_133265,AMOT,NM_001113490,,,AMOT,,,
148,5443,chr12,130343132,130343200,+,0,,"intron (NM_133448, intron 1 of 8)","-intron (NM_133448, intron 1 of 8)",45046,NM_133448,TMEM132D,NM_133448,,,TMEM132D,,,
149,15396,chr2,45161326,45161492,+,0,,Intergenic,Intergenic,-7628,NM_005413,SIX3,NM_005413,,,SIX3,,,
150,5914,chr12,38550194,38550243,+,0,,Intergenic,Intergenic,-160339,NM_001013620,ALG10B,NM_001013620,,,ALG10B,,,
151,17719,chr22,48167650,48167716,+,0,,Intergenic,Intergenic,-140365,NR_033377,FLJ46257,NR_033377,,,FLJ46257,,,
152,1241,chr1,2538125,2538266,+,0,,"intron (NM_033467, intron 7 of 23)","-intron (NM_033467, intron 7 of 23)",20006,NM_152371,FAM213B,NM_001195736,,,FAM213B,,,
153,9216,chr16,30485432,30485519,+,0,,"intron (NM_002209, intron 1 of 30)","-intron (NM_001114380, intron 1 of 28)",1492,NM_002209,ITGAL,NM_001114380,,,ITGAL,,,
154,23798,chr7,1295133,1295188,+,0,,Intergenic,Intergenic,22506,NM_001080461,UNCX,NM_001080461,,,UNCX,,,
155,9112,chr16,24266748,24266919,+,0,,promoter-TSS (NM_006539),-promoter-TSS (NM_006539),-41,NM_006539,CACNG3,NM_006539,,,CACNG3,,,
156,16814,chr21,37985170,37985273,+,0,,Intergenic,Intergenic,-36354,NM_001146077,CLDN14,NM_144492,,,CLDN14,,,
157,6678,chr13,19663589,19663729,+,0,,"intron (NR_002801, intron 4 of 10)","-intron (NR_002801, intron 4 of 10)",28764,NR_002801,PHF2P1,NR_002801,,,PHF2P1,,,
158,515,chr1,167599679,167599729,+,0,,"intron (NM_052862, intron 1 of 6)","-intron (NM_052862, intron 1 of 6)",230,NM_052862,RCSD1,NM_052862,,,RCSD1,,,
159,434,chr1,157490969,157491043,+,0,,"exon (NM_001195388, exon 11 of 17)","-exon (NM_001195388, exon 11 of 17)",31304,NM_031281,FCRL5,NM_031281,,,FCRL5,,,
160,2490,chr10,132719900,132719945,+,0,,Intergenic,Intergenic,41009,NR_036180,MIR378C,NR_036180,,,MIR378C,,,
161,16310,chr20,59866638,59866732,+,0,,"intron (NM_001794, intron 2 of 15)","-intron (NM_001794, intron 2 of 15)",39203,NM_001794,CDH4,NM_001794,,,CDH4,,,
162,16710,chr21,20907872,20907970,+,0,,Intergenic,Intergenic,-1131951,NM_002772,TMPRSS15,NM_002772,,,TMPRSS15,,,
163,124,chr1,11424080,11424126,+,0,,Intergenic,Intergenic,90848,NM_013319,UBIAD1,NM_013319,,,UBIAD1,,,
164,25203,chr8,110704078,110704123,+,0,,promoter-TSS (NM_001099743),-promoter-TSS (NM_001099743),-80,NM_001099744,SYBU,NM_001099743,,,SYBU,,,
165,23686,chr7,111249895,111249933,+,0,,Intergenic,Intergenic,-47341,NM_001244606,IMMP2L,NM_032549,,,IMMP2L,,,
166,15363,chr2,39389036,39389167,+,0,,Intergenic,Intergenic,-41497,NM_005633,SOS1,NM_005633,,,SOS1,,,
167,20290,chr4,5426753,5426820,+,0,,"intron (NM_018401, intron 6 of 11)","-intron (NM_018401, intron 6 of 11)",-100097,NM_005750,C4orf6,NM_005750,,,C4orf6,,,
168,5039,chr12,109305904,109305988,+,0,,"exon (NM_018711, exon 15 of 15)","-exon (NM_018711, exon 15 of 15)",32089,NM_001917,DAO,NM_001917,,,DAO,,,
169,26693,chr9,123477451,123477532,+,0,,promoter-TSS (NM_001080497),-promoter-TSS (NM_001080497),-726,NM_001080497,MEGF9,NM_001080497,,,MEGF9,,,
